BeerID;StyleID;Size(L);OG;FG;ABV;IBU;Color;BoilSize;BoilTime;BoilGravity;Efficiency;MashThickness;BrewMethod;PitchRate;PrimaryTemp;PrimingMethod;PrimingAmount;UserId
1;45;21.77;1.055;1.013;5.48;17.65;4.83;28.39;75;1.038;70;N/A;All Grain;N/A;17.78;corn sugar;4.5 oz;116
2;85;20.82;1.083;1.021;8.16;60.65;15.64;24.61;60;1.07;70;N/A;All Grain;N/A;N/A;N/A;N/A;955
3;7;18.93;1.063;1.018;5.91;59.25;8.98;22.71;60;N/A;70;N/A;extract;N/A;N/A;N/A;N/A;
4;7;22.71;1.061;1.017;5.8;54.48;8.5;26.5;60;N/A;70;N/A;All Grain;N/A;N/A;N/A;N/A;
5;20;50;1.06;1.01;6.48;17.84;4.57;60;90;1.05;72;N/A;All Grain;N/A;19;Sukkerlake;6-7 g sukker/l;18325
6;10;24.61;1.055;1.013;5.58;40.12;8;29.34;70;1.047;79;N/A;All Grain;1;N/A;N/A;N/A;5889
7;86;22.71;1.072;1.018;7.09;268.71;6.33;30.28;90;N/A;75;N/A;All Grain;N/A;N/A;N/A;N/A;1051
8;45;20.82;1.054;1.014;5.36;19.97;5.94;28.39;75;1.04;70;1.4;All Grain;N/A;N/A;corn sugar;4.2 oz;116
9;129;22.71;1.06;1.016;5.77;31.63;34.76;30.28;75;1.042;73;N/A;All Grain;N/A;N/A;corn sugar;4 oz;116
10;86;20.82;1.08;1.017;8.22;93.02;8.29;28.39;60;1.058;70;N/A;All Grain;N/A;21.11;Corn Sugar;4.6 oz / .66 C;
11;7;25;1.064;1.014;6.63;64.26;7.78;29;90;1.055;74;N/A;All Grain;1;18;Sukkerlake;6 5 g sukker/L;18325
12;7;15.14;1.066;1.015;6.62;111;14.26;11.36;90;N/A;70;N/A;BIAB;N/A;N/A;N/A;N/A;
13;7;20.82;1.073;1.019;7.07;69.72;6.28;28.39;60;N/A;70;N/A;All Grain;N/A;N/A;N/A;N/A;
14;7;18.93;1.066;1.017;6.51;60.96;10.54;11.36;60;1.11;30;N/A;extract;0.35;18.33;N/A;N/A;23595
15;7;37.85;1.064;1.017;6.2;64.67;3.91;34.07;60;1.071;70;1.2;All Grain;N/A;N/A;N/A;N/A;
16;31;41.64;1.051;1.013;4.92;36.8;3.61;49.21;60;N/A;75;N/A;All Grain;N/A;N/A;N/A;N/A;
17;134;20.82;1.073;1.015;7.63;44.94;6.25;28.39;60;1.054;70;N/A;BIAB;N/A;N/A;Corn Sugar;4oz;5100
18;7;20.82;1.073;1.018;7.14;61.83;8.1;24.61;60;1.061;75;N/A;All Grain;0.75;18.33;N/A;N/A;955
19;113;20.82;1.046;1.01;4.61;13.64;12.56;28.39;90;1.033;70;N/A;All Grain;N/A;16.67;Priming Sugar;Std (5 Oz.);
20;7;21.77;1.062;1.013;6.5;53.3;5.2;28.39;60;1.048;70;1.25;All Grain;N/A;N/A;Keg - Force Carb.;N/A;
21;65;20.82;1.065;1.015;6.63;55.52;9.47;28.39;60;1.048;75;1.5;All Grain;N/A;17.78;N/A;N/A;5889
22;86;45.42;1.084;1.02;8.43;79.28;6.26;51.1;60;1.075;90;1.25;All Grain;1;20.56;N/A;N/A;20984
23;134;18.93;1.082;1.013;9.1;0;4.1;21.58;60;N/A;72;N/A;All Grain;N/A;N/A;N/A;N/A;
24;65;20.82;1.061;1.014;6.17;56.65;5.85;28.39;60;1.045;75;N/A;All Grain;N/A;N/A;N/A;N/A;5889
25;7;21;1.062;1.014;6.29;53.57;5.21;25;70;1.052;73;N/A;BIAB;0.75;20;N/A;N/A;54364
26;10;18.93;1.067;1.017;6.6;0;11.69;18.93;60;N/A;75;N/A;All Grain;N/A;N/A;N/A;N/A;
27;7;24.61;1.058;1.017;5.34;57.84;3.98;28.39;60;1.05;83;N/A;BIAB;0.5;18.33;N/A;N/A;16332
28;163;20;1.065;1.018;6.22;27.12;16.66;25;90;1.052;70;N/A;All Grain;N/A;10;Sukkerlake;6 gram sukker pr l;18325
29;7;26.5;1.052;1.012;5.31;60.58;5.82;32.18;60;1.043;70;1.3;All Grain;0.75;20.56;N/A;N/A;
30;129;50;1.058;1.014;5.76;39;38.71;58;60;1.05;71;N/A;All Grain;N/A;18;Sukkerlake;5 5 g sukker/l;18325
31;124;48;1.049;1.008;5.41;24.28;3.3;60;90;1.039;75;2.5;All Grain;1.5;11;N/A;N/A;40623
32;7;18.93;1.074;1.018;7.24;0;7.68;22.71;60;N/A;75;N/A;All Grain;N/A;N/A;N/A;N/A;35054
33;7;19.87;1.071;1.018;6.93;68.91;6.82;28.39;60;1.05;72;1.5;All Grain;1;20;N/A;N/A;25649
34;7;20.82;1.065;1.018;6.26;89.61;6.93;28.39;60;1.045;70;1.32;All Grain;0.5;20.56;N/A;N/A;
35;129;22.71;1.053;1.012;5.38;0;46.1;31.95;60;N/A;72;N/A;All Grain;N/A;N/A;N/A;N/A;
36;23;41.64;1.069;1.005;8.4;40.71;3.11;49.21;90;1.058;80;1.5;All Grain;1;17.78;Force Carb;30 PSI;15241
37;10;20.82;1.049;1.009;5.24;40.86;3.79;26.5;60;N/A;75;N/A;All Grain;N/A;N/A;N/A;N/A;
38;7;46;13.9618;3.4853;5.65;37.62;4.96;55;90;11.8;75;3.3;All Grain;1;18;Force carb;N/A;
39;111;18.93;1.079;1.019;7.9;0;29.4;24.26;60;N/A;65;N/A;All Grain;N/A;N/A;N/A;N/A;
40;56;20.82;1.07;1.015;7.22;78.14;5.67;26.5;60;1.05;60;1.3;All Grain;1;17.78;Forced Carbonation;N/A;50283
41;30;22.71;1.043;1.007;4.7;19.68;3.82;28.16;90;1.035;75;N/A;BIAB;N/A;16.67;N/A;N/A;56565
42;30;18.93;1.06;1.016;5.83;27.15;5.18;13.25;60;N/A;35;N/A;extract;N/A;N/A;N/A;N/A;
43;45;18.93;1.055;1.014;5.43;33.67;10.08;15.14;60;N/A;70;N/A;extract;N/A;N/A;N/A;N/A;
44;100;20.82;1.036;1.008;3.7;29.37;2.83;11.36;60;N/A;70;N/A;extract;N/A;N/A;N/A;N/A;
45;81;20.82;1.05;1.013;4.93;43.66;9.89;13.25;60;1.079;70;N/A;Partial Mash;1.5;10;DME boiled in 2 cups water;6.50 oz;20681
46;6;22.71;1.056;1.014;5.57;35.32;20.59;30.28;60;1.042;80;N/A;BIAB;1;19.44;N/A;N/A;5889
47;114;20;1.059;1.019;5.21;37.34;42.09;24;90;1.049;75;N/A;All Grain;N/A;19;Sukkerlake;5 g sukker/l;18325
48;145;20.82;1.096;1.024;9.48;112.51;40;11.36;60;N/A;30;N/A;extract;N/A;N/A;Corn Sugar;118 grams;1116
49;4;18.93;1.075;1.009;7.5;0;8.48;22.71;90;N/A;70;N/A;All Grain;N/A;N/A;N/A;N/A;
50;94;20;1.046;1.009;4.84;23.22;2.85;25;90;1.037;73;N/A;BIAB;1.25;16;N/A;N/A;18325
51;175;18.93;1.051;1.012;5.22;18.67;3.67;27.78;60;1.035;68;1.25;All Grain;0.75;20;N/A;N/A;13114
52;7;3.79;1.058;1.011;6.1;37.06;11.45;5.68;60;1.039;55;1.5;All Grain;0.35;18.33;N/A;N/A;45128
53;170;20.82;1.052;1.013;5.18;13.5;4.05;28.39;60;1.038;70;1.5;All Grain;N/A;21.11;N/A;N/A;
54;165;21;1.053;1.012;5.39;35.13;3.6;29;90;1.039;75;5.154;All Grain;N/A;20;N/A;N/A;5560
55;7;19.87;1.064;1.015;6.47;56.62;8.23;29.34;60;1.043;70;1.35;All Grain;N/A;21.11;N/A;N/A;
56;30;20.82;1.041;1.011;3.83;21.02;3.73;24.61;60;N/A;70;N/A;All Grain;N/A;N/A;Corn Sugar;4.1 oz;
57;7;21;1.067;1.015;6.81;69.73;5.59;25;70;1.053;73;N/A;BIAB;0.75;20;N/A;N/A;54364
58;7;18.93;1.068;1.016;6.76;0;6.81;18.93;60;N/A;75;N/A;Partial Mash;N/A;N/A;N/A;N/A;
59;132;20;1.098;1.025;9.67;69.25;50;24;90;1.082;65;N/A;All Grain;1;18;Sukkerlake;5 5 g sukker/L;18325
60;4;20.82;1.06;1.016;5.71;17.56;29.6;27.44;60;1.045;75;N/A;All Grain;1.25;20;corn sugar;5 oz;365
61;7;21.77;1.066;1.018;6.31;92.1;4.82;26.5;60;1.054;75;1.5;All Grain;N/A;18.89;N/A;N/A;
62;7;18.93;1.062;1.016;6.13;66;6.97;22.71;60;1.052;51;N/A;Partial Mash;N/A;N/A;N/A;N/A;
63;129;20.82;1.062;1.015;6.06;34.61;40;26.5;90;1.048;70;1.5;All Grain;N/A;19.44;N/A;N/A;1051
64;129;49.21;1.063;1.015;6.32;36.3;33.24;49.21;60;1.063;75;N/A;All Grain;N/A;N/A;N/A;N/A;14477
65;170;19.87;1.044;1.011;4.45;12.35;3.65;27.44;90;1.032;65;N/A;BIAB;0.75;16.67;N/A;N/A;993
66;7;22.71;1.078;1.025;7.05;60.66;7.06;26.5;60;1.061;70;N/A;BIAB;0.5;21.11;N/A;N/A;
67;134;20.82;1.072;1.013;7.66;31.43;6.24;26.5;60;1.056;70;N/A;All Grain;N/A;N/A;N/A;N/A;1186
68;6;11.73;1.056;1.014;5.53;0;18.8;15.07;90;N/A;73;N/A;All Grain;N/A;N/A;N/A;N/A;
69;148;37.85;1.085;1.027;7.62;71.13;39.95;45.42;90;1.071;75;N/A;All Grain;N/A;N/A;N/A;N/A;8348
70;170;140.06;1.05;1.013;4.82;15.47;6.79;147.63;60;1.047;63;N/A;All Grain;N/A;N/A;N/A;N/A;1164
71;170;18.93;1.056;1.014;5.5;0;3.99;18.93;60;N/A;75;N/A;All Grain;N/A;N/A;N/A;N/A;
72;7;22.71;1.062;1.012;6.51;121.43;4.26;26.5;60;1.053;70;1.5;All Grain;N/A;17.22;N/A;N/A;
73;162;19.87;1.054;1.015;5.11;31.84;35.08;15.14;60;N/A;70;N/A;extract;N/A;N/A;N/A;N/A;1279
74;7;42;1.068;1.013;7.2;105.67;7.77;52;60;1.055;68;2;All Grain;N/A;19;N/A;N/A;
75;175;25;1.057;1.012;5.87;23.21;3.11;35;90;1.041;83;4.69;All Grain;0.75;N/A;N/A;N/A;
76;160;20.82;1.087;1.022;8.56;85.74;24.85;13.25;60;1.137;75;N/A;All Grain;0.5;20;Corn Sugar;N/A;20681
77;175;20.82;1.05;1.013;4.85;20.08;3.33;28.39;90;1.037;75;N/A;All Grain;0.75;N/A;N/A;N/A;
78;86;22.71;1.102;1.023;10.34;136.21;6.34;30.28;90;1.076;80;2;All Grain;0.75;16.67;N/A;N/A;5889
79;23;18.93;1.07;1.008;8.14;31.39;4.28;25.97;90;1.051;70;1.33;All Grain;N/A;20;force carb;19 psi @  50f;
80;162;20.82;1.066;1.021;5.87;37.61;41.27;24.61;60;1.056;65;1.25;All Grain;0.5;N/A;N/A;N/A;18590
81;7;41.64;1.072;1.014;7.52;87.48;7.3;49.21;90;1.061;65;1.3;All Grain;0.75;20;Force Carb;12 psi;15241
82;175;41.64;1.052;1.013;5.22;16.79;4.31;49.21;90;1.044;73;1.5;All Grain;0.5;20;N/A;N/A;15241
83;26;19.87;1.092;1.017;9.85;36.65;5.14;25.55;90;1.072;70;N/A;BIAB;N/A;N/A;N/A;N/A;993
84;12;20.82;1.096;1.026;9.16;33.18;40;18.93;60;N/A;70;N/A;extract;N/A;N/A;N/A;N/A;453
85;7;22.71;1.072;1.016;7.27;0;9.3;28.39;60;N/A;65;N/A;All Grain;N/A;N/A;N/A;N/A;
86;24;18.93;1.07;1.02;6.47;23.28;5.93;7.57;60;1.174;50;N/A;extract;0.35;21.11;N/A;N/A;19124
87;86;20.82;1.079;1.014;8.51;120.63;8.08;27.63;60;1.059;75;1.5;All Grain;1.25;18.89;N/A;N/A;26578
88;111;18.93;1.046;1.013;4.27;0;3.99;11.36;0;1.077;100;N/A;BIAB;N/A;N/A;N/A;N/A;993
89;31;25;1.05;1.013;4.88;40.51;3.5;30;90;1.042;72;N/A;All Grain;N/A;10;Sukkerlake;6 g sukker/l;18325
90;94;20.82;1.049;1.012;4.84;25.23;3.79;28.39;90;N/A;68;N/A;All Grain;N/A;N/A;Dextrose;3oz;
91;52;20.82;1.043;1.011;4.14;13.22;17.67;28.39;90;N/A;85;N/A;All Grain;1.75;12.22;N/A;N/A;10445
92;10;5;1.054;1.011;5.61;40.55;5.66;7;60;1.038;72;N/A;All Grain;N/A;18;Sukkerlake;6 g sukker/l;18325
93;85;18.93;1.083;1.02;8.36;101.71;15.51;11.36;60;N/A;70;N/A;extract;N/A;N/A;N/A;N/A;
94;58;45.42;1.044;1.01;4.39;38.47;31.4;53;60;1.038;80;1.5;All Grain;1;18.89;N/A;N/A;5889
95;175;23;1.052;1.011;5.36;18.92;3.26;29;90;1.041;75;5;All Grain;1;18;Sukker;8;
96;134;3.79;1.056;1.012;5.73;26.51;9.94;4.73;60;N/A;70;N/A;All Grain;N/A;N/A;N/A;N/A;2824
97;7;24.61;1.058;1.015;5.73;42.52;5.6;28.39;60;1.05;65;1.5;All Grain;N/A;N/A;N/A;N/A;
98;134;18.93;1.055;1.014;5.43;16.73;2.84;15.14;60;1.069;70;N/A;Partial Mash;N/A;N/A;Sugar;3/4 cup;390
99;86;20.82;1.075;1.019;7.89;97.11;11.3;28.39;75;1.055;70;1.33;All Grain;0.35;18.33;N/A;N/A;14793
100;160;18.93;1.066;1.019;6.18;19;19.42;13.25;60;N/A;70;N/A;extract;N/A;N/A;N/A;N/A;
101;21;19;1.096;1.01;11.3;27;20.93;22;90;1.062;74;2.75;All Grain;0.75;22;N/A;N/A;
102;7;20;1.059;1.01;6.45;32.49;6.76;25;60;1.047;70;N/A;All Grain;N/A;19;N/A;N/A;
103;100;18.93;1.04;1.009;4.11;16.34;2.1;5.68;60;1.134;50;N/A;extract;N/A;18.33;N/A;N/A;18665
104;4;20.82;1.06;1.017;5.63;27.73;8.87;11.36;50;N/A;30;N/A;extract;N/A;N/A;Dextrose;3/4 Cup;
105;134;18.93;1.062;1.007;7.2;0;13;24.68;60;N/A;72;N/A;All Grain;N/A;N/A;N/A;N/A;
106;114;20.82;1.069;1.02;6.39;34.93;40;28.39;60;1.051;70;1.25;All Grain;0.35;20;N/A;N/A;345
107;134;45.42;1.051;1.012;5.19;32.59;5.63;53;60;1.044;65;N/A;All Grain;0.75;21.11;N/A;N/A;2125
108;10;18.93;1.053;1.015;5.03;44.04;3.59;22.71;60;N/A;72;N/A;All Grain;N/A;N/A;N/A;N/A;737
109;170;45.42;1.051;1.012;5.13;8.74;3.66;53;90;N/A;72;N/A;All Grain;N/A;N/A;N/A;N/A;380
110;7;22.71;1.058;1.009;6.42;39.52;3.69;27.44;60;1.048;78;1.33;All Grain;0.35;18.33;N/A;N/A;
111;7;20.82;1.066;1.018;6.24;68.07;11.58;26.5;60;1.052;77;1.25;All Grain;N/A;N/A;N/A;N/A;
112;15;19.87;1.057;1.014;5.64;28.66;6.38;13.25;60;1.085;70;N/A;Partial Mash;0.75;20;Corn Sugar;N/A;20681
113;167;5;1.06;1.017;5.65;34.79;11.92;7;60;1.043;57;N/A;All Grain;N/A;19;N/A;N/A;
114;81;20;1.048;1.01;4.97;36.19;2.77;25;90;1.038;73;N/A;All Grain;N/A;10;N/A;N/A;18325
115;23;53;1.075;1.009;8.59;71.69;6.78;53;90;1.075;77;N/A;All Grain;1.25;26.67;N/A;N/A;2125
116;7;40;1.065;1.012;6.88;65.04;6.75;50;60;1.052;70;N/A;All Grain;N/A;18;Sukkerlake;120g;18325
117;144;20.82;1.052;1.015;4.8;31.71;13.23;27.44;60;N/A;75;N/A;All Grain;N/A;N/A;N/A;N/A;365
118;7;20.82;1.064;1.018;6.03;70.74;9.01;13.25;60;1.1;70;N/A;Partial Mash;0.75;20;Corn Sugar;N/A;20681
119;67;20.82;1.083;1.023;7.86;54.32;6.53;15.14;60;1.114;75;N/A;Partial Mash;0.75;21.11;Corn Sugar;N/A;20681
120;10;20;1.055;1.014;5.46;35.01;8.06;25;60;N/A;75;N/A;All Grain;N/A;N/A;FORCED CARB;N/A;1752
121;23;19;1.09;1.022;8.97;31.75;5.64;24;90;1.071;70;2.43;All Grain;1;21;Inverted sugar;10g/L;
122;114;20.82;1.072;1.01;8.11;49.59;40;11.36;60;N/A;70;N/A;extract;N/A;N/A;Forced Carbonation;3 weeks (min.) at 8 psig;316
123;92;18.93;1.046;1.011;4.5;0;16.76;24.61;75;N/A;75;1.42;All Grain;N/A;N/A;N/A;N/A;
124;116;20;1.074;1.018;7.35;46.73;24.51;23;60;1.064;68;N/A;BIAB;N/A;19;Sukkerlake;5 g sukker/l;18325
125;7;18.93;1.056;1.013;5.57;43.02;10.33;11.36;60;N/A;75;N/A;extract;N/A;N/A;N/A;N/A;
126;7;20.82;1.066;1.015;6.7;76.06;7.32;27.94;60;1.049;72;1.3;All Grain;0.75;18.89;N/A;N/A;12244
127;10;18.93;1.052;1.01;5.55;45.2;8.14;21.77;60;1.046;67;1.5;All Grain;0.5;18.33;N/A;N/A;
128;15;18.93;1.06;1.014;5.97;28.02;3.76;18.93;60;N/A;70;N/A;All Grain;N/A;N/A;N/A;N/A;718
129;85;45.42;1.066;1.017;6.42;16.31;20.3;53;75;1.048;75;N/A;All Grain;N/A;N/A;N/A;N/A;14477
130;7;20.82;1.059;1.015;5.82;73.67;7.22;13.25;60;1.093;70;N/A;Partial Mash;0.75;21.11;Corn Sugar;N/A;20681
131;56;21;1.066;1.017;6.42;63.89;6.22;25;70;1.05;72;N/A;BIAB;1;18;N/A;N/A;54364
132;7;3.79;1.057;1.016;5.38;46.29;7.1;4.73;60;N/A;70;N/A;All Grain;N/A;N/A;honey;3 tablespoons;2824
133;114;18.93;1.116;1.029;11.44;113.19;40;15.52;60;N/A;70;N/A;Partial Mash;N/A;N/A;N/A;N/A;
134;10;10.6;1.054;1.013;5.32;51.73;4.65;14.38;60;1.04;70;1.5;All Grain;0.75;17.78;N/A;N/A;
135;7;19.87;1.061;1.008;6.92;48.4;10.53;28.39;90;N/A;60;N/A;All Grain;1;20;N/A;N/A;9916
136;15;18.93;1.045;1.012;4.21;20.55;3.73;24.61;60;N/A;70;N/A;extract;N/A;N/A;corn sugar;4 oz;
137;7;45.42;1.067;1.017;6.64;113.49;31.85;64.35;90;N/A;70;N/A;All Grain;N/A;N/A;N/A;N/A;380
138;7;20.82;1.061;1.011;6.58;37.83;9.38;28.39;60;1.045;75;1.5;All Grain;1;15.56;N/A;N/A;5889
139;68;10;1.057;1.014;5.75;34.85;9.74;12;70;1.048;80;N/A;All Grain;0.75;19;Dextrose;N/A;
140;174;22.71;1.072;1.017;7.31;28.98;11;30.7;60;1.053;70;N/A;BIAB;0.35;21.11;N/A;N/A;39433
141;7;20.82;1.067;1.014;7;50.85;5.6;28.39;60;1.049;75;N/A;All Grain;N/A;N/A;N/A;N/A;5889
142;10;37.85;1.049;1.01;5.06;33.49;8.76;41.64;60;1.044;85;1.25;All Grain;0.75;18.33;N/A;N/A;16332
143;21;20.82;1.109;1.027;10.72;46.81;40;27.44;90;N/A;75;N/A;All Grain;N/A;N/A;N/A;N/A;955
144;6;20;1.064;1.014;6.54;42.06;20.91;25;90;1.051;69;3;All Grain;1;17;Sukkerlake;5 5 g sukker/liter;18325
145;156;41.64;1.042;1.01;4.23;10.98;3.21;49.21;90;N/A;72;N/A;All Grain;N/A;N/A;CO2;Keg @ 10 psi;
146;12;20.06;1.076;1.021;7.61;64.24;39.37;26.5;60;N/A;70;N/A;All Grain;N/A;N/A;Add in last 5 of boil;32 oz;737
147;170;19.87;1.042;1.011;4.14;16.71;3.66;17.03;60;1.049;35;N/A;extract;N/A;18.33;Corn Sugar;8.9 ounce;4183
148;132;14.2;1.124;1.024;13.24;69.09;40;23.66;90;1.075;80.1;1.5;All Grain;N/A;20;N/A;N/A;
149;163;20.82;1.072;1.019;6.87;27.11;20.88;26.5;60;1.056;75;N/A;All Grain;2;10;corn sugar;N/A;365
150;4;28;1.055;1.012;5.82;44.62;18.72;28;30;1.055;75;N/A;BIAB;0.75;18;N/A;N/A;52625
151;176;18.93;1.099;1.033;8.62;20.79;37.22;22.71;60;1.082;70;1.25;All Grain;N/A;20;priming sugar;7 ozs;
152;7;4.73;1.069;1.015;7.11;30.11;5.04;7.57;45;1.043;72;1.3;All Grain;N/A;17.78;N/A;N/A;
153;4;25;1.065;1.015;6.61;65.02;16.19;29;90;1.056;74;N/A;All Grain;1;18;Sukkerlake;6 5 g sukker/l;18325
154;75;18.93;1.077;1.008;9.08;36.41;10.43;15.14;60;N/A;76;N/A;All Grain;N/A;N/A;N/A;N/A;737
155;132;22.71;1.13;1.036;12.35;114.57;40;34.07;180;1.086;80;1.25;All Grain;1;16.67;Corn sugar;2.5oz;
156;86;22.71;1.081;1.014;8.82;124.23;5.8;28.39;60;1.059;75;1.33;All Grain;0.35;19.44;N/A;N/A;
157;75;18.93;1.061;1.011;6.54;69.12;11;22.71;60;N/A;75;N/A;extract;N/A;N/A;Corn Sugar;3/4 cup;1477
158;10;30;1.042;1.01;4.24;47.19;9.46;28;60;1.045;81;N/A;BIAB;0.75;19;N/A;N/A;52625
159;75;18.93;1.05;1.012;4.89;32.53;18.01;11.36;60;N/A;75;N/A;Partial Mash;N/A;N/A;Corn sugar dextrose;.5 oz;
160;129;83.28;1.057;1.016;5.41;24.84;39;83.28;60;1.055;25;N/A;extract;N/A;20;None/Forced Carbonation;N/A;
161;35;27;1.05;1.009;5.37;35.29;6.52;28;60;1.048;83;N/A;BIAB;0.75;19;N/A;N/A;52625
162;6;18.93;1.051;1.014;4.8;15.59;25.1;9.46;60;N/A;100;N/A;extract;N/A;N/A;N/A;N/A;
163;10;20;1.053;1.011;5.59;38.44;5.57;24;60;1.044;72;N/A;All Grain;N/A;18;Sukkerlake;6 g sukker/l;18325
164;81;14.38;1.056;1.014;5.53;25.8;3.32;15.14;30;1.053;35;N/A;extract;0.5;18.33;N/A;N/A;
165;10;20.82;1.052;1.013;5.05;27.42;9.47;28.39;60;1.038;75;1.5;All Grain;1;19.44;N/A;N/A;5889
166;10;20.82;1.054;1.013;5.45;11.93;6.52;28.39;90;N/A;70;N/A;BIAB;N/A;N/A;N/A;N/A;993
167;71;21.77;1.06;1.005;7.22;18.07;15.25;31.23;60;1.042;73;1.3;All Grain;0.75;20;N/A;N/A;1569
168;170;41.64;1.062;1.014;6.3;18.89;5.9;45.42;60;1.056;80;1.2;All Grain;0.5;22.22;N/A;N/A;
169;92;18.93;1.053;1.015;5.03;28.85;16.42;24.61;90;1.041;75;1.5;All Grain;N/A;N/A;N/A;N/A;482
170;10;25;1.056;1.013;5.59;28.57;11.36;28;60;N/A;75;N/A;All Grain;0.75;N/A;N/A;N/A;10010
171;86;20.82;1.088;1.023;8.53;75.14;12.22;26.5;90;N/A;65;N/A;All Grain;N/A;N/A;N/A;N/A;955
172;21;11.36;1.102;1.025;10.21;21.56;40;12.3;60;1.095;20;N/A;extract;1.25;20;N/A;N/A;22270
173;27;41.64;1.039;1.01;3.87;6.13;2.89;53;45;N/A;72;N/A;All Grain;N/A;N/A;N/A;N/A;380
174;115;41.64;1.056;1.014;5.53;16.87;12.91;49.21;90;1.048;70;N/A;All Grain;1.5;15.56;Forced;12;15241
175;92;21;1.046;1.008;4.98;26.72;9.67;28;90;1.035;75;6.097;All Grain;N/A;20;N/A;N/A;5560
176;113;18.93;1.053;1.013;5.21;0;9.8;18.93;60;N/A;75;N/A;Partial Mash;N/A;N/A;N/A;N/A;
177;109;20.82;1.048;1.011;4.9;24.55;3.4;25.55;90;N/A;70;N/A;All Grain;N/A;N/A;Keg;10 psi;
178;92;20.82;1.055;1.015;5.22;34.36;15.23;28.39;60;1.035;72;1.5;All Grain;1;16.67;N/A;N/A;5889
179;134;21;1.061;1.01;6.76;33.08;9.83;28;90;1.039;75;5.04;All Grain;N/A;21;N/A;N/A;5560
180;86;20.82;1.095;1.027;8.98;136.74;6.31;22.71;65;1.087;35;N/A;extract;N/A;20;N/A;N/A;
181;7;45.42;1.065;1.015;6.6;35.44;8.47;56.78;90;1.052;75;1.5;All Grain;N/A;N/A;N/A;N/A;
182;7;45.42;1.072;1.014;7.69;100.06;6.65;51.1;60;1.064;75;1.5;All Grain;N/A;17.78;N/A;N/A;
183;162;41.64;1.06;1.022;4.99;24.51;39.5;49.21;60;1.05;75;N/A;All Grain;N/A;N/A;Corn Sugar;4 OZ;
184;40;13.25;1.054;1.012;5.46;13.67;3.13;18.93;90;1.038;72;1.5;All Grain;1.5;11.11;N/A;N/A;
185;175;20;1.047;1.01;4.9;14.36;3.54;25;90;1.038;73;N/A;All Grain;N/A;20;Sukkerlake;7 g sukker/l;18325
186;83;41.64;1.049;1.01;5.11;12.23;4.47;49.21;90;N/A;72;N/A;All Grain;N/A;N/A;N/A;N/A;380
187;7;19.87;1.058;1.017;5.42;43.43;4.3;24.61;60;1.047;70;2;All Grain;0.75;20;N/A;N/A;39959
188;134;41.64;1.05;1.01;5.27;31.51;3.37;56.78;90;N/A;70;N/A;All Grain;N/A;N/A;N/A;N/A;380
189;86;18.93;1.11;1.031;10.37;164.95;40;24.61;60;N/A;75;N/A;All Grain;N/A;N/A;N/A;N/A;
190;132;20.82;1.09;1.019;9.26;88.9;50;24.61;60;1.076;70;1.3;All Grain;0.35;21.11;N/A;N/A;
191;7;22.71;1.074;1.018;7.34;56.49;6.21;26.5;60;1.063;75;1.5;All Grain;N/A;N/A;N/A;N/A;45924
192;30;20.82;1.041;1.009;4.1;21.02;3.73;24.87;60;N/A;70;N/A;All Grain;N/A;N/A;Dextrose;3.1 oz/5 gal;
193;111;18.93;1.093;1.023;9.12;0;14.07;18.93;60;N/A;75;N/A;Partial Mash;N/A;N/A;N/A;N/A;
194;144;21;1.043;1.011;4.25;34.98;13.33;26.5;60;1.034;80;N/A;All Grain;0.75;18;N/A;N/A;401
195;56;20.82;1.076;1.015;8.03;162.53;6.04;26.5;90;1.054;66;1.3;All Grain;1;17.78;N/A;N/A;50283
196;160;22.71;1.107;1.033;10.94;64.49;31;32.18;120;1.076;75;1.25;All Grain;1.25;14.44;N/A;N/A;
197;170;37.85;1.058;1.014;5.78;22.17;9.1;45.42;60;N/A;75;N/A;All Grain;N/A;N/A;N/A;N/A;1128
198;7;19.31;1.061;1.011;6.5;75.44;9.89;24.61;30;1.048;35;N/A;extract;1.25;15.56;N/A;N/A;
199;170;20.82;1.054;1.013;5.28;16.9;6.68;28.39;60;1.039;70;N/A;All Grain;N/A;20;Corn Sugar;8 oz;
200;45;20.82;1.044;1.012;4.15;18.13;2.56;17.03;90;N/A;75;N/A;BIAB;N/A;N/A;Dextrose;4.8 oz / 136 grams;
201;134;25;1.06;1.008;6.77;24.46;5.28;30;90;1.05;72;N/A;All Grain;N/A;18;N/A;N/A;18325
202;26;18.93;1.087;1.021;8.69;45.4;5.38;28.39;90;1.058;65;N/A;BIAB;N/A;N/A;N/A;N/A;
203;129;18.93;1.072;1.018;7.12;0;39.03;22.71;60;N/A;75;N/A;All Grain;N/A;N/A;N/A;N/A;
204;10;23;1.054;1.01;5.77;36.64;5.65;28;60;1.044;78;3;All Grain;0.5;19;N/A;N/A;46027
205;132;22.71;1.096;1.027;9.18;35.95;29.92;28.39;60;N/A;70;N/A;All Grain;N/A;N/A;N/A;N/A;3750
206;24;3.79;1.056;1.013;5.63;19.2;4.77;4.73;60;N/A;70;N/A;All Grain;N/A;N/A;Honey;3 TB;2824
207;12;7.57;1.087;1.025;8.08;50.44;31.77;9.46;60;N/A;70;N/A;All Grain;N/A;N/A;Corn Sugar;42.9 g;
